* 'Flag',  'ylow',  'yhigh',  'pTlow',  'pThigh',       'Sigma',         'stat',      'uncor',  'nperr+',    'nperr-',   'lumi',    'unf_err+',      'unf_err-',    'AbsoluteMPFBias+',  'AbsoluteMPFBias-',  'AbsoluteScale+',  'AbsoluteScale-',  'AbsoluteStat+',  'AbsoluteStat-',   'FlavorQCD+',     'FlavorQCD-',    'Fragmentation+',  'Fragmentation-',   'PileUpDataMC+',  'PileUpDataMC-',   'PileUpPtBB+',    'PileUpPtBB-',   'PileUpPtEC1+',  'PileUpPtEC1-',  'PileUpPtEC2+',  'PileUpPtEC2-', 'PileUpPtRef+',   'PileUpPtRef-',   'RelativeBal+',  'RelativeBal-',  'RelativeFSR+',  'RelativeFSR-',  'RelativeJEREC1+',  'RelativeJEREC1-',  'RelativeJEREC2LL+',  'RelativeJEREC2LL-',  'RelativePtBB+',  'RelativePtBB-',  'RelativePtEC1+',  'RelativePtEC1-',  'RelativePtEC2+',  'RelativePtEC2-',  'RelativeStatEC+',  'RelativeStatEC-',  'RelativeStatFSR+',  'RelativeStatFSR-',  'SinglePionECAL+',  'SinglePionECAL-',  'SinglePionHCAL+',  'SinglePionHCAL-',  'TimePtEta+',  'TimePtEta-',   'RelativeSample+',  'RelativeSample-' 
    1       1.0      1.5       97.0      133.0      7418.64799621     0.268108205757    1.0     0.0994036    -0.0994036    2.6     3.2702366802  -2.90846877695     1.11200235887        -1.03010247306      0.667801951281    -0.608323094235         0.0               0.0          3.18096011908     -2.90616069239    0.221987872461     -0.21156008223     0.554615785558     -0.538558985      0.275150296347   -0.271459999685    0.143729795367   -0.134587239195         0.0              0.0         0.181673453503   -0.180327738334     -0.72126167     0.755817337364  -0.0309133298353   0.0328377348605     0.328850417691     -0.311195228951           0.0                 0.0          -0.137064788051    0.140746088544    -0.0144918919953   0.0184534028606          0.0                0.0          0.0103003491107     0.00406780559041     0.0813162236032      -0.0651568228165    -0.357767490999      0.353165820289     -0.0603063092299    0.0779850907557     2.23618540384   -2.01115934695    2.02078333904       -1.87147673481  
    1       1.0      1.5      133.0      174.0      1895.00608534     0.382533793152    1.0     0.0996017    -0.0996017    2.6    1.89855192859  -1.94064451263     1.15269523036        -1.20632674576      0.72620611585     -0.744871701815         0.0               0.0           3.1495339593     -3.21196849342    0.255950274895    -0.240942615439     0.479395892103   -0.451983916692     0.199858815414   -0.179614725262   0.0447620970102   -0.0618795639989        0.0              0.0         0.162568486063   -0.151473331213   -0.470282912522   0.481310225099  0.0197873410735   -0.00750432189829    0.226721964978     -0.229711839324           0.0                 0.0          -0.0737319183947  0.0624089872054    0.0022606288335   -0.00216040314626         0.0                0.0           0.045076814061     -0.0544032185878     0.0931086521835      -0.106552768243     -0.249599425675      0.282096372945     -0.128664493496      0.115338482918     2.08084160205   -2.18830653298    1.56149804318       -1.55711004315  
    1       1.0      1.5      174.0      220.0      475.375560433     0.322578511511    1.0     0.09985025  -0.09985025    2.6    2.20362008326  -2.10920940608     1.34999046799        -1.2136119378       0.746131584454    -0.786657482148         0.0               0.0          2.67320428389     -2.48587438515   0.0426223387229    -0.0507468011699    0.323884488684   -0.351230717607     0.069589449606   -0.0856096465869  0.0180959911875   -0.0222697834536        0.0              0.0        0.0741673975751   -0.0864753567868  -0.275229327463   0.260294503154  0.0272553358496    -0.035284368449     0.294213710232     -0.289220185942           0.0                 0.0          -0.0111902135455  0.0283228951179   -0.00830231775507   0.00258164686586         0.0                0.0          0.0786769301744     -0.0813726645317     0.0809787933343      -0.087258428134     -0.109579938601     0.0972415464246     -0.039453678124     0.0514450770993     2.68131319202   -2.52000270269    0.65097614734      -0.692628527704  
    1       1.0      1.5      220.0      272.0      147.794576727     0.396592082184    1.0      0.10005      -0.10005     2.6    1.40939576732  -1.28161010773     1.05666027531        -1.30126223978      0.697084190774    -0.721470178646         0.0               0.0          2.18943427778     -2.35117722365    0.100177686751    -0.103513553415     0.264424278415   -0.252767892602    -0.0079248207339  0.0261917079588   -0.023497600484   0.0302387735772         0.0              0.0         0.172140953927   -0.158110972089   -0.141060819767  0.0518724682061   0.109741914667    -0.115155923612     0.23964279306      -0.236052250514           0.0                 0.0           0.119669752251   -0.112753522975    0.00421983340451   0.00403550410188         0.0                0.0           0.113994558045     -0.119537257369      0.0996663812285      -0.0871464811344    -0.0954400865492    0.0951182614285     -0.0164480194451   -0.00590013525473    2.26614380941   -2.36314729105    0.202908828102     -0.221045016227  
    1       1.0      1.5      272.0      330.0       46.275818583     0.345790817295    1.0     0.1002505    -0.1002505    2.6    3.16289977075  -3.13144518685     1.52696025642        -1.31335767431       0.9083090397     -0.840328328293         0.0               0.0          2.23718001258     -1.96348954616   -0.062977658522     0.107337382504     0.29403601259     -0.27432836159    -0.0816170345087    0.1023784823    -0.0294037667554  0.0332264757323         0.0              0.0        -0.0269242369742  0.0468106844893    0.313013306488  -0.172737908041   0.156300479586    -0.0697845881985    0.244907897791     -0.178103460621           0.0                 0.0           0.163345119075   -0.187301039381    0.0204559703754    -0.0182618065019         0.0                0.0           0.119392646596     -0.0633785635273      0.131633229528      -0.120256274768      0.121508063706     -0.0803539600552    -0.0280483295759    0.0552616559657     2.86110441811   -2.66379465032   -0.521098434533      0.615906198739  
    1       1.0      1.5      330.0      395.0      16.1367894407     0.272542596474    1.0     0.1003515    -0.1003515    2.6    1.61586233726  -1.5921494116       1.1959468737        -1.31328775485      0.713519573559    -0.829095358697         0.0               0.0          1.68715346481     -1.76663878905   -0.111186453399    0.0270218184088    0.0952057577461   -0.160838021163    -0.109871765973   0.0669055668877   -0.0702721804107  0.0496426693424         0.0              0.0        0.0386045752603   -0.0662493194796   0.205172026292  -0.333463300377   0.119994685555    -0.217988587902     0.202363662144     -0.234741624156           0.0                 0.0           0.142831786406   -0.205020164553    0.00108665509138   -0.0152548477498         0.0                0.0           0.134409697185     -0.187388553092      0.0653542716747       -0.12513851735    -0.00112191754175    -0.0791797337132    0.0528544906851     -0.107548492262     2.40456935302   -2.41083710041   -0.963015512869      0.887374987266  
    1       1.0      1.5      395.0      468.0      5.81521991677     0.238940383382    1.0     0.1005535    -0.1005535    2.6    1.50430117318  -1.37147732194     1.41372789474         -1.317508748       0.889008950425    -0.790604669387         0.0               0.0           1.5545980829     -1.45800486171   -0.0605669896251    0.144711350084     0.195921579848   -0.135670756045    -0.145733493175    0.182590766457   -0.0382091017258  0.0579474980012         0.0              0.0        0.00396783679022  0.0226566133393    0.652070555204  -0.572219452392   0.201011119227    -0.129822755047     0.178926035871      -0.15123640751           0.0                 0.0           0.304377641643   -0.234638998669    0.0270852140448   -0.00336337170961         0.0                0.0           0.134771710963     -0.0916498160175      0.133605848421      -0.0773246182484     0.195992446216     -0.117839284245     0.0945631019157     -0.035193788458     2.68264528241   -2.6099739617     -1.54546055749      1.55896260999   
    1       1.0      1.5      468.0      548.0      2.17621529855     0.209200172375    1.0     0.1006545    -0.150956     2.6    1.94966000899  -1.93477630715     1.30597885512        -1.37339781471      0.776225470503    -0.823633997554         0.0               0.0          1.22096661194     -1.23217802556   -0.244893953462     0.188094143816    0.0765769704708   -0.0985531220167   -0.113989944842   0.0995569955042   -0.0616541400825  0.0533120985454         0.0              0.0        -0.0619298959411  0.0611625683782    0.563365101634  -0.622399144915   0.209998564134    -0.243223058456     0.16713847517      -0.179389871113           0.0                 0.0           0.319709175396   -0.349344422861    0.0262775750822    -0.0484605619857         0.0                0.0           0.158029298837     -0.180507996513       0.08614410856       -0.107826197892      0.10276924452      -0.150245829327     0.0585560515669     -0.089614321855     2.50275698905   -2.49063836667    -1.9059301162       1.82866639846   
    1       1.0      1.5      548.0      638.0      0.834073211235    0.176712456155    1.0      0.100857    -0.100857     2.6    1.80213068388  -1.68084870133     1.60227078957        -1.48640284987      0.963702958793    -0.926175237979         0.0               0.0          1.16952068385     -1.13997035548    -0.26895942061     0.299783171466     0.133186106701   -0.117728512684     -0.13434301654    0.148368542561   -0.0469400909546  0.0443452483975         0.0              0.0        -0.0476741181337  0.0540925717222    1.10328757384   -0.996057675728   0.243526909218    -0.227324766292     0.142759579923     -0.138887409961           0.0                 0.0           0.44809964462     -0.42694811873    0.0242941966489    -0.0158735092293         0.0                0.0           0.153159138752     -0.147934663201       0.132765344123      -0.123552885515      0.315634717383      -0.29574228822      0.218914420531     -0.209434578967     2.90505830362   -2.81976606135    -2.78241720458      2.85087766927   
    1       1.0      1.5      638.0      737.0      0.305307019313    0.246894108786    1.0      0.100959    -0.100959     2.6    2.25266748338  -2.27641753115     1.68354864811        -1.72000211152      1.03776274798      -1.00775265566         0.0               0.0          0.931411565949   -0.901933830718    -0.23832332073     0.212677818011     0.103121071827   -0.115043848873    -0.122290624556    0.110483830247   -0.030955441201   0.0389332953313         0.0              0.0        -0.068489910605    0.060036971851    1.27884038506    -1.35539563275   0.336921312794    -0.306902445586     0.181892911078     -0.168318844922           0.0                 0.0           0.536597934404   -0.542146682596    0.0242493873072    -0.0266089496805         0.0                0.0           0.212379731358     -0.186579266625       0.119766024359      -0.123391614692      0.350019151808     -0.360588462806      0.130491421423     -0.127684947168     3.08113157771   -2.91320442836    -3.4840634455       3.58224351906   
    1       1.0      1.5      737.0      846.0      0.119614251174    0.369419038901    1.0      0.151668    -0.101112     2.6    1.86396760994  -1.76023004465     1.55165451583        -1.50246382274      0.906136200816    -0.953720959657         0.0               0.0          0.53357486093     -0.53713100267    -0.37990139645     0.456550912291    0.0244433851476   0.00462250871702   -0.0548092157704  0.0636350390181   -0.0170528032952  0.0282087081513         0.0              0.0        -0.0223964855441  0.0468637293555    1.29299845248    -1.21100623883   0.251617437025    -0.287069204639     0.102868157404     -0.113760017011           0.0                 0.0           0.549424459314   -0.529110809768    0.0514308719053    -0.0326726347969         0.0                0.0           0.172483998573     -0.190765964524       0.128561143314      -0.0958258748664     0.288732235178     -0.240853805246      0.154944805153     -0.116980089791     2.64628923673   -2.77964593965    -3.59893061835      3.66370931871   
    1       1.0      1.5      846.0      967.0     0.0455535311839    0.57878303354     1.0      0.101215    -0.101215     2.6     1.9981493392  -2.0009049651      1.74600895361        -1.93553862927      1.09903636251      -1.1426189005          0.0               0.0          0.492726448187   -0.531161145342   -0.339311113031     0.160845499434    0.0961730831754   -0.170124730815    -0.0644859888325  0.0321701923784   -0.0286009792722  -0.0164182478363        0.0              0.0        -0.140861810502   0.0776958267411    1.71046763208    -1.94652175154   0.321811195615    -0.379029492807     0.091516087722      -0.13144597066           0.0                 0.0           0.631863154838   -0.720576758034    0.00708598193139   -0.0665497356715         0.0                0.0           0.163089401594     -0.186367772747       0.103918909434       -0.21465723084      0.475489149616     -0.596709976695      0.228060831187     -0.372389069035     3.16912795232   -3.04959794308    -5.21113360206      5.07064058214   
    1       1.0      1.5      967.0      1101.0    0.0167372992541    0.93071982039     1.0      0.101317    -0.1519755    2.6    3.02175730581  -2.96290612004     2.23750691883        -1.74630561141       1.3314786471      -1.15730691633         0.0               0.0         -0.0458232323482   0.104350892732   -0.572835975679     0.82155863605    6.78506719967e-05   0.07058900759      0.119663525769   -0.0652662384369  0.0805769829465   0.00660555646589        0.0              0.0        -0.0442327136538   0.107582162179    2.31798132971    -1.83836501254   0.60102256824      -0.46770261528     0.18827704873      -0.0853107869729          0.0                 0.0           0.995000618614    -0.80955329401    0.0828945004388    0.0226556983776          0.0                0.0           0.30132101031      -0.238043076008       0.207856971766      -0.0233499452614     0.480305604009     -0.335815336568      0.341556829245     -0.0849261470059    3.38086660712   -3.11957751358    -4.90002956352      5.47553075736   
    1       1.0      1.5      1101.0     1248.0    0.00589637412521   1.55059940736     1.0        0.0          0.0        2.6    2.50497087909  -2.3801821636      1.42730750081        -2.37986603769      0.789128692743     -1.19542882436         0.0               0.0          0.177545248823   -0.312929133354    -0.22849699993    0.00308955261443    0.149027904185   -0.142324109388    -0.077157413227   0.0240358657965   -0.019838768077   -0.108061790119         0.0              0.0        -0.0608797083267  0.0672431203102     1.8512366261    -2.7412158928    0.175653435076    -0.249369444592     -0.05318976471     -0.0893375716751          0.0                 0.0           0.500927716017   -0.858890416002   -0.00168937535199   -0.144448830482          0.0                0.0          0.0870564619606     -0.166111894616      0.0804592597472      -0.269138779762      0.537024710557     -0.611820946339      0.193252732892     -0.539590440761     2.77597230476   -3.36797399912    -7.31918759942      6.74308630441   
    1       1.0      1.5      1248.0     1410.0    0.00197541578945   2.64505089562     1.0        0.0          0.0        2.6    2.86916677936  -2.88074506223     3.83147334583        -1.70326429409      2.55406562103      -1.23435118632         0.0               0.0         -0.680652493593    1.34482950847      -1.019009328      1.48438677963     0.0321858741252   -0.103863358291     0.861206440336   -0.672080315365    0.102529250458   0.0375112755943         0.0              0.0         0.168471994075    -0.34003279893    4.99900061696    -2.48588619026   0.918365641235    -0.826403208923     0.169317093638     0.0351364113497           0.0                 0.0           2.28137368666     -1.20107740567    0.0809355840613     0.116423333874          0.0                0.0           0.287985325843      -0.23005332649       0.41424439695       -0.161810176236      0.968558969019     -0.691887081546      0.906692502915     -0.316163398369     5.49027315765   -3.17919832141    -6.34991717465       9.8748127473   
    1       1.0      1.5      1410.0     1588.0   0.000635218074136   4.56037890662     1.0        0.0          0.0        2.6    3.39156583216  -3.05313576123    -0.0676237944082      -3.68236547998      -0.24944113176     -2.08105257263         0.0               0.0         -0.801215522085    -0.76986814186   -0.204768908801    -0.753273432921    0.0392826620637    0.11622601973      -0.54385471624    0.305077002834   0.0379742858875   -0.147786986762         0.0              0.0         0.115084730608    0.350587653436   -0.488632652312   -4.57755532656  -0.333900048715     0.304015059087    -0.0266104156869    -0.196705017449           0.0                 0.0          -0.359604426317    -1.70456651283    0.0187167711649    -0.253311915798          0.0                0.0          0.0732536636588      0.032418343109      -0.265956905996      0.0953390535591     -0.0960171479452     -0.53508310407      -0.46157655216     -0.264363504603    -0.134840410478  -4.48331564412    -12.5610869558      5.51838449991   
    1       1.0      1.5      1588.0     1784.0   0.000152849182148   9.95040346531     1.0        0.0          0.0        2.6    3.80030131053  -3.85645842793      7.4419351416        -1.74210030553      4.23460193588      -1.54121641789         0.0               0.0          -1.59133557516    3.97938370541     -2.18537200232     3.42145256984     0.0788293853983   -0.381074563362     1.81494037845     -2.43970129057    0.177503236705   -0.0119949235934        0.0              0.0        -0.442714259034   -0.799136160055    12.4156382435    -2.87969339926   2.06884841333      -1.25981358169     0.150785996016      0.161276382022           0.0                 0.0           4.05275501932     -2.24344207844     0.030736489096     0.262610022575          0.0                0.0           0.628342254161     -0.419612964302       0.686885598746      -0.804638038941       2.2341330944       -1.63317320764      2.04240182146       -1.43937469462     12.8404152426   -3.62773273327    -4.55739196416      21.0826154491   
    1       1.0      1.5      1784.0     2000.0   4.80053328974e-05   15.9788416196     1.0        0.0          0.0        2.6    4.15846005963  -4.04684279213     -1.59136830744       -3.87975886728     -0.528213992023     -1.45917462697         0.0               0.0         -0.374258614326    -1.14658406573    0.801168050397     -1.1019796721     0.00705731362764   0.158791627812   -0.00441387186678    1.530496528     -0.106610634392   -0.368976995217         0.0              0.0         0.584799525666    0.43314886842     -2.73059488625   -6.40090548617   -2.05752791058    -0.480682602272    -0.164885780128      -0.2293001578            0.0                 0.0           0.107407563231   -0.374891887308    -0.0416267782381   -0.326497278074          0.0                0.0          -0.573250797507     -0.0881012733129     -0.915677392725        0.5066087402      -0.126499217522       0.2966385923       -1.11440150712      0.38950504341      -3.82463795314  -5.62496723916    -15.3629939735      3.24817065885   
    1       1.0      1.5      2000.0     2238.0   8.81463857504e-06   43.9514606235     1.0        0.0          0.0        2.6    7.37388838011  -7.05315858689     9.77179702049        -7.72890724826      5.15267457119      -8.37759496199     -3.00817084397    -3.00817084397   -10.7448442965   6.37997328048     -6.61162778629     2.50501485858     -3.05495026287    -3.17546181462   1.46297622785   -7.31399234791   -2.86003512964   -2.31538953139   -3.00817084397   -3.00817084397  -0.533536127783   -3.56570165503    23.6636233222     -16.7802960613   5.88776209706    -3.48250602403    -2.72891134888      -2.60168841202      -3.00817084397      -3.00817084397     3.99452557478     -11.204363195      -2.93450256302     -2.44349106847     -3.00817084397     -3.00817084397     -2.09409186226      -2.7243634771        2.35276483671        -5.40477635788      0.995490742899      -5.8044315938       2.33372377332       -5.03325974045     16.3534518432   -13.6041041929    -40.8164876797      43.4400796316   
    0       1.0      1.5      2238.0     2500.0   4.93883760564e-07   403.099555914     1.0        0.0          0.0        2.6    39.1860058435  -35.2219627107     -64.1784989074       39.2411585525       -32.9363930571     46.5213954123       15.136528122      15.136528122    53.3478646443    -40.4347781943    30.6100624049      -14.1116698827    15.4219609359      16.039132858    -8.65945834968  34.0885730149    14.1869478187    10.8664070384     15.136528122     15.136528122    -3.47258681067   18.3071958854     -250.231933999    100.307539401    -35.6802291351   18.7376401197     13.3742812293       12.6470293431        15.136528122        15.136528122      -25.7378130545    56.6192919633      14.6559817043      11.6702273473       15.136528122       15.136528122      9.55585269225       13.2827542743        -13.1073468812       30.5499104117       -5.12252076262      25.7352049116       -12.5535182046      28.0739281078      -98.5995175193  84.5520282124     299.863633043       -130.335124927  
    0       1.0      1.5      2500.0     2787.0   8.16512862048e-07   182.947805484     1.0        0.0          0.0        2.6    17.8471414758  -13.3370023186     20.1453334061        -11.4785265277      10.1318002619      -14.2252444956     -4.55417150213    -4.55417150213   -15.4785077907   12.5715958151     -8.71313512414     4.07224943296     -4.66258732701    -4.82155067587   2.50604727734   -9.7501772375    -4.28608278603   -3.19864638322   -4.55417150213   -4.55417150213   1.60147534924    -5.53289119838    121.784952856     -43.6028905306   10.9748705781    -5.71803397724    -4.0152913824       -3.75989824501      -4.55417150213      -4.55417150213     7.86938834119     -16.6672604606     -4.4099474818      -3.45715210976     -4.55417150213     -4.55417150213     -2.81981606819      -3.94991686433       3.78837447944        -9.48769280762      1.23591459403       -7.17906926914      3.59259218059       -8.71177335317     30.3996137162    -39.0790316      -159.821786884      67.4514713572   
    0       1.0      1.5      2787.0     3103.0   -5.86706132677e-07  -320.781852461    1.0        0.0          0.0        2.6    31.9374115434  -24.3996009138     27.5492817801        -15.3238383695      13.7461809782      -19.3105426986     -6.15922344566    -6.15922344566   -20.6064533289   17.1337322863     -11.5268171208      5.3894709799     -6.31768127844    -6.51790279813   3.31430170338   -12.9240113031   -5.80812112855   -4.29465717017   -6.15922344566   -6.15922344566   2.41234707884    -7.49283615617     174.27820998     -65.9643543609   14.9059211009    -7.76398029755    -5.42895891091      -5.0644356954       -6.15922344566      -6.15922344566     10.6464061819     -22.3173305731     -5.96536097228     -4.65182420231     -6.15922344566     -6.15922344566     -3.79253781975      -5.32055895741       5.01739316749        -12.9598194782      1.49468216559       -9.4229010536       4.74077943671       -11.8991522342     41.3396610718   -59.9711830692    -246.418831959      93.2237336223   
    0       1.5      2.0       56.0      74.0       6367.822281      0.283490158504    1.0        0.0     -0.04995005    2.6    0.955680011192  0.955680011192     1.87692100498       -0.619813412571      1.38297956956     -0.0990274904498    0.691776212546    0.691776212546   4.56696633838    -3.0347208216     0.96235026789      0.384945353143    1.14821379084     0.157890099959    0.691776212546   0.691776212546   1.07308342306    0.251687373573   0.691776212546   0.691776212546   0.873585554439   0.468901227469   -0.2143642521    1.57704812195   -0.349624286521   1.65982152321     1.90195600672      -0.664858241555      0.691776212546      0.691776212546     0.691776212546    0.691776212546     0.677349464615     0.71405332603      0.691776212546     0.691776212546     1.24216883382      0.0215678549472       0.807590768585       0.537051204721      0.231490452685      1.08878048904       0.572787979698      0.771869524289    2.91044944406   -1.54016858111    -1.19032955846      2.59275656202   
    0       1.5      2.0       74.0      97.0       6367.822281      0.283490158504    1.0        0.0     -0.04995005    2.6    0.955680011192  0.955680011192     1.87692100498       -0.619813412571      1.38297956956     -0.0990274904498    0.691776212546    0.691776212546   4.56696633838    -3.0347208216     0.96235026789      0.384945353143    1.14821379084     0.157890099959    0.691776212546   0.691776212546   1.07308342306    0.251687373573   0.691776212546   0.691776212546   0.873585554439   0.468901227469   -0.2143642521    1.57704812195   -0.349624286521   1.65982152321     1.90195600672      -0.664858241555      0.691776212546      0.691776212546     0.691776212546    0.691776212546     0.677349464615     0.71405332603      0.691776212546     0.691776212546     1.24216883382      0.0215678549472       0.807590768585       0.537051204721      0.231490452685      1.08878048904       0.572787979698      0.771869524289    2.91044944406   -1.54016858111    -1.19032955846      2.59275656202  
    0       1.5      2.0       97.0      133.0       6367.822281      0.283490158504    1.0        0.0         -0.0       2.6    3.18813618386  -2.69048469507     1.87692100498       -0.619813412571      1.38297956956     -0.0990274904498    0.691776212546    0.691776212546   4.56696633838    -3.0347208216     0.96235026789      0.384945353143    1.14821379084     0.157890099959    0.691776212546   0.691776212546   1.07308342306    0.251687373573   0.691776212546   0.691776212546   0.873585554439   0.468901227469   -0.2143642521    1.57704812195   -0.349624286521   1.65982152321     1.90195600672      -0.664858241555      0.691776212546      0.691776212546     0.691776212546    0.691776212546     0.677349464615     0.71405332603      0.691776212546     0.691776212546     1.24216883382      0.0215678549472       0.807590768585       0.537051204721      0.231490452685      1.08878048904       0.572787979698      0.771869524289    2.91044944406   -1.54016858111    -1.19032955846      2.59275656202   
    0       1.5      2.0      133.0      174.0       1388.7367266     0.446579085994    1.0        0.0     -0.04995005    2.6    1.78220434129  -1.85347544603     1.99363796061       -0.394769036075      1.49973274011     0.0241300559309     0.714595522145    0.714595522145   3.71264440985    -2.12234372286    0.983797160776     0.485663781731     1.132116623      0.348338413727    0.714595522145   0.714595522145   0.979368571602    0.4889936825    0.714595522145   0.714595522145   0.910746827867   0.553757824376  0.0334991776912   1.45372582073    0.137485814173   1.35440665556     1.95047148275      -0.342838438619      0.714595522145      0.714595522145     0.714595522145    0.714595522145     0.718619259314     0.702852683336     0.714595522145     0.714595522145      1.4342692786      0.0979770522875       0.897676192427       0.566431015964      0.458584441469      1.01376334671       0.611949205779      0.850421213818    3.17315103385   -1.63277896376   -0.948619047924      2.49042315063   
    0       1.5      2.0      174.0      220.0       380.5826051      0.34645523158     1.0     0.0501505    -0.05005     2.6     2.1917996857  -2.09957106944     2.18417928702       -0.540038119585      1.69079344476      -0.01178082749     0.852613707037    0.852613707037   3.72550804738    -1.96198331301    0.915293607236     0.766308357782    1.15575944123     0.546190703023    0.852613707037   0.852613707037   0.956727258761   0.745086479474   0.852613707037   0.852613707037   0.967182907922   0.720741182406   0.317111322791    1.4256148412    0.607114100112   1.12962650202     2.04922107943       -0.36570009969      0.852613707037      0.852613707037     0.852613707037    0.852613707037     0.820294967431     0.886396623533     0.852613707037     0.852613707037     1.78289597823      -0.0527097443953        1.02654276         0.656393371208      0.708935972526      0.970837301625      0.792081630208      0.914481852964    3.36410712298   -1.69633145062    -1.01925238063      2.71218616016   
    0       1.5      2.0      220.0      272.0      109.830581882     0.453885211163    1.0      0.100503   -0.050201     2.6    1.89860456071  -1.82766857501     1.94371231483       -0.518857549131      1.41075996318     -0.0669432304788    0.703936285864    0.703936285864   3.02171379777    -1.60527324671    0.774601584769     0.624622080374    0.855439220757    0.548145908004    0.703936285864   0.703936285864   0.641835667184   0.719014012741   0.703936285864   0.703936285864   0.832586676753   0.578362360574   0.259053298584   1.12800471485    0.74412825983    0.570777515605    1.71032770497      -0.329535728795      0.703936285864      0.703936285864     0.703936285864    0.703936285864     0.703350107168     0.680910794574     0.703936285864     0.703936285864     1.41821906541      -0.187325792542       0.809192813391       0.598246321976      0.628734867442      0.771322426848      0.70804122012       0.684069879568    3.35939702931   -1.90643622009    -1.14960070574      2.53295970675   
    0       1.5      2.0      272.0      330.0      34.6939639874     0.382949619805    1.0     0.1007555   -0.1007555    2.6    1.62179029331  -1.52668640933     1.98185072305        -0.73347225175      1.41696709171     -0.196092201929     0.603454573459    0.603454573459   2.74577611273    -1.44442766589    0.553002245023     0.662341203246    0.802030283435    0.372862024301    0.603454573459   0.603454573459   0.538286963773   0.690137986391   0.603454573459   0.603454573459   0.562850235176   0.637419217443   0.294557139396   0.965746899643   0.968074047571   0.268083911121    1.57985900606      -0.377138590653      0.603454573459      0.603454573459     0.603454573459    0.603454573459     0.687104331964     0.531361440977     0.603454573459     0.603454573459     1.62135455391      -0.363558006265       0.789210333367       0.41040092786       0.682926709995      0.530557347392      0.548865460351      0.651452177151    3.34779470276   -2.05388965632    -1.23422481763      2.48613141489   
    0       1.5      2.0      330.0      395.0      11.5426218682     0.300750100084    1.0      0.151566   -0.151464     2.6    1.74650665939  -1.7249956025       2.4692466792       -0.430174162272       1.9539486103      0.179266259817     1.08258742091     1.08258742091    2.93486495005   -0.890785237563    0.987022885525      1.1623857456     1.20754476611     1.00438698931     1.08258742091    1.08258742091    0.896177061376   1.26679399726    1.08258742091    1.08258742091    1.16038282643    1.02217011859    0.842112561573   1.31921152422    1.83641966822    0.242103579141     2.0571300318      0.0993865632679      1.08258742091       1.08258742091      1.08258742091     1.08258742091      1.12458912668      1.05391605715      1.08258742091      1.08258742091      2.12046710023      -0.0447289512589      1.24068896606        0.935271038805       1.1241138459       1.02819106162        1.1794568162       1.00658039868     3.94546040919   -1.84875679263   -0.951114196979      3.03211668937   
    0       1.5      2.0      395.0      468.0      3.95707774945     0.26861760175     1.0     0.2025315   -0.1519245    2.6    1.98719750134  -1.88975212952     2.44259341892       -0.562123004284      1.82252503235     0.0117906910523     0.882394103572    0.882394103572   2.55587816057   -0.664631915923    0.765578392318     1.03107627832     1.02291921659     0.722808310414    0.882394103572   0.882394103572   0.718159678551   1.04800772462    0.882394103572   0.882394103572   0.836922771678   0.918326376995   0.901529388611   0.86790405368     2.0211012916   -0.171416564748    1.84173926018      -0.0279010093665     0.882394103572      0.882394103572     0.882394103572    0.882394103572     0.959409412901     0.806948337896     0.882394103572     0.882394103572      2.1053092211      -0.203091190397       1.07802043029        0.703450048751      1.10483448681       0.686490450263      0.961017252538      0.812427906941    3.79884694563   -1.91688632161    -1.11309123844      2.91699266818   
    0       1.5      2.0      468.0      548.0      1.35657003679     0.244591035714    1.0      0.202943   -0.202943     2.6    1.73883268716  -1.63273766056     2.64484883464       -0.657020091716      1.98772629574    -0.000209874478263   0.995820175266    0.995820175266   2.37411039903   -0.387695179062    0.680613433611     1.29118865921      1.0865825032     0.915100734431    0.995820175266   0.995820175266   0.794070311913   1.19552086603    0.995820175266   0.995820175266   0.930627930165   1.06126847415    0.991647358568   1.00608219449    2.54939917818   -0.500723972029    1.79348805602       0.199683660772      0.995820175266      0.995820175266     0.995820175266    0.995820175266     1.09863715896      0.893103829015     0.995820175266     0.995820175266     2.26512406306      -0.325343720623       1.18540833462        0.807401171186       1.1461298798       0.835966936898       1.1214313946       0.860144660313     4.1259136925   -2.07901308445    -1.21948843223       3.310289174    
    0       1.5      2.0      548.0      638.0      0.464441804438    0.205613255131    1.0     0.2033555   -0.2033555    2.6    2.02232028514  -1.97013664473      3.1040978051       -0.369568744374      2.41566887909      0.277592563517     1.32648596169     1.32648596169    2.59986302466    0.125577035541    1.08422829738      1.60052329715     1.38134268396      1.2645495052     1.32648596169    1.32648596169    1.15037411179    1.50245730781    1.32648596169    1.32648596169     1.2715346819    1.37839496767    1.54335261592    1.14140752518    3.26390780135   -0.589479349671    2.29981362064       0.387327034315      1.32648596169       1.32648596169      1.32648596169     1.32648596169      1.39631302701      1.25865152028      1.32648596169      1.32648596169      2.86514466289      -0.113841131117       1.53933636668        1.12558579047       1.73083066289       0.945003172085      1.55739733681        1.1129736682     4.76901601805   -1.94558307055    -1.01114812801      3.69765350994   
