       0       0     0.5    2000    2238  0.00016088    5.07    1.00    0.00    0.00    2.60    0.00    0.00    0.68   -0.44    1.47   -1.22   -0.51    0.38    0.35   -0.12    0.04   -0.01   -0.80    1.36    3.73   -2.98    0.00    0.00    0.00    0.00    0.00    0.00    0.84   -0.41    0.00    0.00    0.00    0.00    0.00    0.00    0.57   -0.75   -0.21    0.48    2.28   -2.16   -0.17    0.34    0.00    0.00    0.00    0.00   -0.13    0.23   -0.13    0.23   -0.02   -0.21    0.00    0.00    0.00    0.00    0.00    0.00   -0.03    0.03    1.78   -1.72    0.57   -0.22   -0.00   -0.00
       0       0     0.5    2238    2500  5.3894e-05    8.62    1.00    0.00    0.00    2.60    0.00    0.00   -0.72   -1.78    1.39   -2.58   -0.50   -1.37   -1.43   -0.67   -1.61   -0.45   -2.08   -0.65    1.51   -3.84    0.00    0.00    0.00    0.00    0.00    0.00   -0.59   -2.56    0.00    0.00    0.00    0.00    0.00    0.00   -0.03   -2.56   -2.47   -0.35    1.95   -3.35    0.56   -0.70    0.00    0.00    0.00    0.00    0.25   -0.36    0.25   -0.36    0.23   -0.60    0.00    0.00    0.00    0.00    0.00    0.00   -0.08    0.08    2.01   -1.93    1.23   -0.46    0.00   -0.00
       0       0     0.5    2500    2787  1.6213e-05   15.15    1.00    0.00    0.00    2.60    0.00    0.00    4.21   -1.54    4.75   -4.29   -2.60    3.80    3.84   -2.48    5.08   -2.07   -2.18    4.11    6.34   -8.70    0.00    0.00    0.00    0.00    0.00    0.00    5.31   -2.04    0.00    0.00    0.00    0.00    0.00    0.00    5.29   -3.03   -2.12    3.19    4.25   -7.89   -0.97    0.03    0.00    0.00    0.00    0.00    0.08    0.28    0.08    0.28   -3.27    2.49    0.00    0.00    0.00    0.00    0.00    0.00    0.11   -0.11    2.28   -2.18    1.62   -0.19    0.01   -0.00
       0       0     0.5    2787    3103  3.8424e-06   29.45    1.00    0.00    0.00    2.60    0.00    0.00    5.19   -3.47    5.29    0.74    0.95    2.20    2.17    0.86   -1.16    3.37   -2.90    5.26    7.44    3.65    0.00    0.00    0.00    0.00    0.00    0.00    1.71   -0.19    0.00    0.00    0.00    0.00    0.00    0.00    4.87   -0.53   -0.11    5.12    9.49    2.86    3.15   -0.03    0.00    0.00    0.00    0.00   -0.06   -0.21   -0.06   -0.20    6.92    0.13    0.00    0.00    0.00    0.00    0.00    0.00   -1.08    1.08    3.97   -3.68    3.73    0.67    0.01   -0.01
       0       0     0.5    3103    3450           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       0     0.5    3450    3832           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0     0.5       1      56      74           0    0.00    1.00   -0.05    0.05    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0     0.5       1      74      97           0    0.00    1.00   -0.05    0.05    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0     0.5       1      97     133      8714.3    0.23    1.00   -0.10    0.10    2.60    0.00    0.00    0.69   -0.68    1.10   -1.10    0.26   -0.27   -0.40    0.38   -0.11    0.12    3.36   -3.29    1.88   -1.81    0.00    0.00    0.00    0.00    0.00    0.00   -0.14    0.15    0.00    0.00    0.00    0.00    0.00    0.00    0.11   -0.10    0.86   -0.85   -0.34    0.33    0.09   -0.08    0.00    0.00    0.00    0.00    0.68   -0.69    0.17   -0.17    0.13   -0.13    0.00    0.00    0.00    0.00    0.00    0.00   -3.26    3.26    3.03   -2.86    1.75   -1.72   -0.12    0.12
       0     0.5       1     133     174      2080.8    0.32    1.00   -0.05    0.05    2.60    0.00    0.00    0.66   -0.67    1.12   -1.13    0.11   -0.13   -0.12    0.11   -0.08    0.07    2.65   -2.56    2.04   -2.09    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.02    0.00    0.00    0.00    0.00    0.00    0.00    0.10   -0.14    0.44   -0.44   -0.25    0.24    0.07   -0.08    0.00    0.00    0.00    0.00    0.44   -0.44    0.11   -0.12    0.13   -0.13    0.00    0.00    0.00    0.00    0.00    0.00    1.18   -1.18    0.21   -0.21    0.51   -0.77    0.02   -0.01
