       0       0     0.5    2000    2238  0.00018407    4.47    1.00    0.00    0.00    2.60    0.00    0.00    2.17   -0.09    3.01   -0.41   -0.04    1.03    0.85    0.11    0.61    0.47   -0.22    2.86    4.43   -1.27    0.00    0.00    0.00    0.00    0.00    0.00    2.67    0.38    0.00    0.00    0.00    0.00    0.00    0.00    2.52   -0.65    0.65    2.27    2.79    0.03    0.24   -0.01    0.00    0.00    0.00    0.00    0.04    0.09    0.04    0.12    0.19    0.53    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.04    0.05   -0.05    0.53   -0.56   -0.00    0.00
       0       0     0.5    2238    2500  6.3035e-05    7.31    1.00    0.00    0.00    2.60    0.00    0.00   -0.20   -4.26    2.20   -6.22   -1.84    0.74    0.69   -1.93    0.91   -1.87   -4.37    0.36    4.26   -7.98    0.00    0.00    0.00    0.00    0.00    0.00    0.70   -4.23    0.00    0.00    0.00    0.00    0.00    0.00    0.42   -4.61   -4.20    0.64    4.73   -7.92    0.13   -0.77    0.00    0.00    0.00    0.00    0.20   -0.51    0.20   -0.64   -0.96    0.56    0.00    0.00    0.00    0.00    0.00    0.00   -0.07    0.07    0.05   -0.05    0.48   -0.39   -0.01    0.01
       0       0     0.5    2500    2787  1.8861e-05   12.95    1.00    0.00    0.00    2.60    0.00    0.00    3.06    1.28    3.72    0.84   -0.18    1.81    1.85   -0.13    0.23   -0.00    0.79    3.95    3.81    2.65    0.00    0.00    0.00    0.00    0.00    0.00    1.83   -1.01    0.00    0.00    0.00    0.00    0.00    0.00    5.68    0.63    0.21    1.71    1.82    2.77   -0.09    1.25    0.00    0.00    0.00    0.00   -0.13    0.31   -0.13    1.17    0.20   -0.19    0.00    0.00    0.00    0.00    0.00    0.00    0.09   -0.09    0.05   -0.05    1.13   -0.99   -0.02    0.03
       0       0     0.5    2787    3103  4.3594e-06   27.46    1.00    0.00    0.00    2.60    0.00    0.00    0.06   -0.48    2.84    1.28   -1.78   -0.78   -0.82   -1.82   -0.22   -1.92   -0.08    0.10   10.73   -7.90    0.00    0.00    0.00    0.00    0.00    0.00    3.15    4.27    0.00    0.00    0.00    0.00    0.00    0.00   -0.76   -0.26    2.96    3.25   12.33  -10.31    0.06   -2.46    0.00    0.00    0.00    0.00    0.09   -0.22    0.09   -2.41   -1.72    0.13    0.00    0.00    0.00    0.00    0.00    0.00   -1.01    1.01    1.33   -1.30    1.27   -1.09   -0.03    0.01
       0       0     0.5    3103    3450           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0       0     0.5    3450    3832           0    0.00    1.00    0.00    0.00    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0     0.5       1      56      74           0    0.00    1.00   -0.05    0.05    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       0     0.5       1      74      97           0    0.00    1.00   -0.05    0.05    2.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
       1     0.5       1      97     133       14030    0.37    1.00   -0.10    0.10    2.60    0.00    0.00    0.77   -0.84    1.28   -1.29    0.30   -0.30   -0.41    0.42   -0.13    0.12    3.65   -3.62    2.05   -2.07    0.00    0.00    0.00    0.00    0.00    0.00   -0.16    0.16    0.00    0.00    0.00    0.00    0.00    0.00    0.09   -0.10    1.00   -0.97   -0.36    0.35    0.09   -0.10    0.00    0.00    0.00    0.00    0.77   -0.81    0.19   -0.20    0.15   -0.16    0.00    0.00    0.00    0.00    0.00    0.00   -3.95    3.95    3.08   -2.90    2.62   -2.87   -0.42    0.41
       1     0.5       1     133     174      3310.8    0.43    1.00   -0.05    0.05    2.60    0.00    0.00    0.70   -0.61    1.15   -1.15    0.14   -0.14   -0.14    0.14   -0.06    0.09    2.79   -2.65    2.15   -2.16    0.00    0.00    0.00    0.00    0.00    0.00   -0.04    0.03    0.00    0.00    0.00    0.00    0.00    0.00    0.17   -0.10    0.51   -0.47   -0.16    0.23    0.08   -0.06    0.00    0.00    0.00    0.00    0.42   -0.38    0.13   -0.12    0.15   -0.15    0.00    0.00    0.00    0.00    0.00    0.00    1.01   -1.01    0.30   -0.30   -0.38   -1.24    0.07   -0.07
